TABLE 1: DETAILED TEST RESULTS
ID,Actual_Dist_km,Fault_Type,Est_Lookup_km,Lookup_Ref_Current_A,Lookup_Ref_Row_Index,Err_Lookup_m,Est_Imped_km,Calc_Impedance_Ohms,Err_Imped_m,Pct_Err_Lookup,Pct_Err_Imped
1.0000,31.2669,1.0000,31.2700,3.1286,325.1844,3127.0000,31.4057,138.8116,0.6564,0.0100,0.4440,0.0000
2.0000,10.4481,2.0000,10.4500,1.8893,1248.5704,1045.0000,10.4631,14.9859,0.1330,0.0181,0.1434,0.0000
3.0000,56.3896,3.0000,56.3900,0.3706,297.4000,5639.0000,56.3861,3.5574,0.7165,0.0007,0.0063,0.0000


TABLE 2: PERFORMANCE SUMMARY (AGGREGATED)
Metric,Lookup_Table_Method,Impedance_Method
Mean_Abs_Error_(m),1.80,52.45
Max_Error_(m),3.13,138.81
MAPE_(%),0.01,0.20
Std_Deviation_(m),1.38,75.01
Win_Rate_(%),100.0,0.0


TABLE 3: ACCURACY BY FAULT TYPE
Fault_Type,Lookup_Avg_Err_(m),Impedance_Avg_Err_(m),Difference_(m)
SLG (1-Phase),3.13,138.81,135.68
LL (2-Phase),1.89,14.99,13.10
3PH (Balanced),0.37,3.56,3.19
